panel,markerstring,gating hierarchy,public_population_name,presented on webpage as,ancestral population,fraction_name,population_for_backcounts_within_panel,population_for_backcounts_P6,complex_cases
P6,CD45+,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06 | Count,CD45_cells,"fraction, counts per ml of blood",NA,NA,NA,NA,NA
P6,CD45+lymphocytes,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06 | Count,Lymphocytes,"fraction, counts per ml of blood",Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06 | Count,NA,NA,NA,NA
P6,CD45+lymphocytesCD19+,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/B_06 | Count,B_cells,"fraction, counts per ml of blood",Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06 | Count,NA,NA,NA,NA
P6,CD45+lymphocytesCD19-,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06 | Count,non_B_cells,"fraction, counts per ml of blood",Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06 | Count,NA,NA,NA,NA
P6,CD45+lymphocytesCD19-CD3-CD56+,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/NK_06 | Count,NK_cells,"fraction, counts per ml of blood",Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06 | Count,NA,NA,NA,NA
P6,CD45+lymphocytesCD19-CD3+CD56+,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/NKT_06 | Count,NKT_cells,"fraction, counts per ml of blood",Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06 | Count,NA,NA,NA,NA
P6,CD45+lymphocytesCD19-CD3+CD56-,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/T_06 | Count,T_cells,"fraction, counts per ml of blood",Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06 | Count,NA,NA,NA,NA
P6,CD45+nolymphocytes,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06 | Count,non_lymphocytes,"fraction, counts per ml of blood",NA,NA,NA,NA,NA
P6,CD45+nolymphocytesCD15-,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15n_06 | Count,non_Granulocytes,"fraction, counts per ml of blood",Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06 | Count,NA,NA,NA,NA
P6,CD45+nolymphocytesCD15-CD14+CD16-,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15n_06/Classical_monocytes_06 | Count,classical_monocytes,"fraction, counts per ml of blood",Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15n_06 | Count,NA,NA,NA,NA
P6,CD45+nolymphocytesCD15-CD14+CD16+,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15n_06/Intermediate_monocytes_06 | Count,intermediate_monocytes,"fraction, counts per ml of blood",Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15n_06 | Count,NA,NA,NA,NA
P6,CD45+nolymphocytesCD15-CD14-CD16+,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15n_06/Non_classical_monocytes_06 | Count,patrolling_monocytes,"fraction, counts per ml of blood",Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15n_06 | Count,NA,NA,NA,NA
P6,CD45+nolymphocytesCD15+,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15p_06 | Count,Granulocytes,"fraction, counts per ml of blood",Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06 | Count,NA,NA,NA,NA
P6,CD45+nolymphocytesCD15+CD16-,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15p_06/Eosinophils_06 | Count,Non_neutrophils,"fraction, counts per ml of blood",Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15p_06 | Count,NA,NA,NA,NA
P6,CD45+nolymphocytesCD15+CD16+,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15p_06/Neutrophils_06 | Count,Neutrophils,"fraction, counts per ml of blood",Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Not_lymphocytes_06/CD15p_06 | Count,NA,NA,NA,NA
P1,Livecells,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01 | Count,live_cells,"fraction, counts per ml of blood",NA,NA,NA,NA,NA
P1,CD45+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01 | Count,CD45_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01 | Count,CD45_01/Live_01,NA,NA,NA
P1,CD45+MFI,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01 | Median (CD45),CD45_MFI,median intensity,NA,NA,NA,NA,NA
P1,CD45+CD19+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/B_01 | Count,B_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01 | Count,B_01/CD45_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/B_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/B_06 | Count,NA
P1,CD45+CD19+MFI,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/B_01 | Median (CD19),CD19_MFI_CD45_cells,median intensity,NA,NA,NA,NA,NA
P1,CD45+CD19+CD27+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/B_01/Memory_B_01 | Count,memory_B_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/B_01 | Count,Memory_B_01/B_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/B_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/B_06 | Count,NA
P1,CD45+CD19+CD27-,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/B_01/Niv_B_01 | Count,naïve_B_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/B_01 | Count,Niv_B_01/B_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/B_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/B_06 | Count,NA
P1,CD45+CD19-CD3-,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01 | Count,non_B_non_T_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01 | Count,Non_BT_01/CD45_01,NA,NA,NA
P1,CD45+CD19-CD3-CD14-CD56+,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01/NK_01 | Count,NK_cells,"fraction, counts per ml of blood",Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01 | Count,NK_01/Non_BT_01,Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/Non_BT_01/NK_01 | Count,Time_06/Cells_06/Singlets1_06/Singlets2_06/CD45p_06/Lymphocytes_06/CD3p_CD3n_06/NK_06 | Count,NA
