param,healthy_all_mean_all_corrected,LRTI_mean_all_corrected,COVID_mean_all_corrected,COVIDlow_mean_all_corrected,COVIDmoderate_mean_all_corrected,COVIDsevere_mean_all_corrected,healthy_all_vs_COVID.effsize_all_corrected,healthy_all_vs_COVID.pval_all_corrected,healthy_all_vs_LRTI.pval_all_corrected,LRTI_vs_COVID.pval_all_corrected,COVIDmoderate_vs_healthy_all.pval_all_corrected,COVIDlow_vs_healthy_all.pval_all_corrected,COVIDsevere_vs_healthy_all.pval_all_corrected,COVIDmoderate_vs_COVIDlow.pval_all_corrected,COVIDsevere_vs_COVIDmoderate.pval_all_corrected,COVIDsevere_vs_COVIDlow.pval_all_corrected,COVIDlow_vs_LRTI.pval_all_corrected,COVIDmoderate_vs_LRTI.pval_all_corrected,COVIDsevere_vs_LRTI.pval_all_corrected,healthy_sn_mean_sn_corrected,LRTI_mean_sn_corrected,COVID_mean_sn_corrected,COVIDlow_mean_sn_corrected,COVIDmoderate_mean_sn_corrected,COVIDsevere_mean_sn_corrected,healthy_sn_vs_COVID.effsize_sn_corrected,healthy_sn_vs_COVID.pval_sn_corrected,healthy_sn_vs_LRTI.pval_sn_corrected,LRTI_vs_COVID.pval_sn_corrected,COVIDmoderate_vs_healthy_sn.pval_sn_corrected,COVIDlow_vs_healthy_sn.pval_sn_corrected,COVIDsevere_vs_healthy_sn.pval_sn_corrected,COVIDmoderate_vs_COVIDlow.pval_sn_corrected,COVIDsevere_vs_COVIDmoderate.pval_sn_corrected,COVIDsevere_vs_COVIDlow.pval_sn_corrected,COVIDlow_vs_LRTI.pval_sn_corrected,COVIDmoderate_vs_LRTI.pval_sn_corrected,COVIDsevere_vs_LRTI.pval_sn_corrected,healthy_all_mean_all_log_corrected,LRTI_mean_all_log_corrected,COVID_mean_all_log_corrected,COVIDlow_mean_all_log_corrected,COVIDmoderate_mean_all_log_corrected,COVIDsevere_mean_all_log_corrected,healthy_all_vs_COVID.effsize_all_log_corrected,healthy_all_vs_COVID.pval_all_log_corrected,healthy_all_vs_LRTI.pval_all_log_corrected,LRTI_vs_COVID.pval_all_log_corrected,COVIDmoderate_vs_healthy_all.pval_all_log_corrected,COVIDlow_vs_healthy_all.pval_all_log_corrected,COVIDsevere_vs_healthy_all.pval_all_log_corrected,COVIDmoderate_vs_COVIDlow.pval_all_log_corrected,COVIDsevere_vs_COVIDmoderate.pval_all_log_corrected,COVIDsevere_vs_COVIDlow.pval_all_log_corrected,COVIDlow_vs_LRTI.pval_all_log_corrected,COVIDmoderate_vs_LRTI.pval_all_log_corrected,COVIDsevere_vs_LRTI.pval_all_log_corrected,healthy_sn_mean_sn_log_corrected,LRTI_mean_sn_log_corrected,COVID_mean_sn_log_corrected,COVIDlow_mean_sn_log_corrected,COVIDmoderate_mean_sn_log_corrected,COVIDsevere_mean_sn_log_corrected,healthy_sn_vs_COVID.effsize_sn_log_corrected,healthy_sn_vs_COVID.pval_sn_log_corrected,healthy_sn_vs_LRTI.pval_sn_log_corrected,LRTI_vs_COVID.pval_sn_log_corrected,COVIDmoderate_vs_healthy_sn.pval_sn_log_corrected,COVIDlow_vs_healthy_sn.pval_sn_log_corrected,COVIDsevere_vs_healthy_sn.pval_sn_log_corrected,COVIDmoderate_vs_COVIDlow.pval_sn_log_corrected,COVIDsevere_vs_COVIDmoderate.pval_sn_log_corrected,COVIDsevere_vs_COVIDlow.pval_sn_log_corrected,COVIDlow_vs_LRTI.pval_sn_log_corrected,COVIDmoderate_vs_LRTI.pval_sn_log_corrected,COVIDsevere_vs_LRTI.pval_sn_log_corrected
Time_01/Cells_01/Singlets1_01/Singlets2_01/Live_01/CD45_01/T_01/CD4_01 | Count_back,387212.0597061845,232488.71124013426,111455.33527023793,192008.4583827717,102610.32595156373,102669.54352889006,-9.620741344956176,7.551788760057283e-11,0.03925151103513393,0.10023183262886873,8.29481295294287e-8,0.026197898311246467,1.3646593014770563e-8,0.32911814748125934,0.9991345345975082,0.32013494163662215,0.7046348189423086,0.1058894511397129,0.09748414504487511,387212.0597061845,232488.71124013426,111455.33527023793,192008.4583827717,102610.32595156373,102669.54352889006,-9.620741344956176,7.551788760057283e-11,0.03925151103513393,0.10023183262886873,8.29481295294287e-8,0.026197898311246467,1.3646593014770563e-8,0.32911814748125934,0.9991345345975082,0.32013494163662215,0.7046348189423086,0.1058894511397129,0.09748414504487511,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Time_02/Cells_02/Singlets1_02/Singlets2_02/Live_02/CD45p_02/T_02/CD4_02/CD4_CD45RAn_CCR7p_02 | Count_back,128738.39378260064,98076.56146640268,36103.61003961174,70969.37863008433,27834.306301479162,35654.164470496355,-7.400165821443493,3.558337102402139e-7,0.3544206362908019,0.060478007305722045,1.863415288639137e-5,0.14222222223803507,1.7048505839071347e-5,0.3006566235316601,0.753846222860318,0.38495232678402513,0.5737927016366342,0.053154798860247356,0.07544044332263525,128738.39378260064,98076.56146640268,36103.61003961174,70969.37863008433,27834.306301479162,35654.164470496355,-7.400165821443493,3.558337102402139e-7,0.3544206362908019,0.060478007305722045,1.863415288639137e-5,0.14222222223803507,1.7048505839071347e-5,0.3006566235316601,0.753846222860318,0.38495232678402513,0.5737927016366342,0.053154798860247356,0.07544044332263525,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Time_02/Cells_02/Singlets1_02/Singlets2_02/Live_02/CD45p_02/T_02/CD4_02/CD4_CD45RAn_CD27p_02 | Count_back,150522.96135877757,109034.00654269275,48624.75362269407,96300.15761619013,38716.17699063992,46900.31801990491,-7.9973194867216,4.908803516791626e-8,0.21895347496850603,0.07192122906432888,3.4491012480136004e-6,0.17423736788811545,2.840354698390673e-6,0.17388674080593544,0.7462483935251765,0.23157005198516506,0.7943499941363981,0.05619060414281119,0.08084420944173534,150522.96135877757,109034.00654269275,48624.75362269407,96300.15761619013,38716.17699063992,46900.31801990491,-7.9973194867216,4.908803516791626e-8,0.21895347496850603,0.07192122906432888,3.4491012480136004e-6,0.17423736788811545,2.840354698390673e-6,0.17388674080593544,0.7462483935251765,0.23157005198516506,0.7943499941363981,0.05619060414281119,0.08084420944173534,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Time_02/Cells_02/Singlets1_02/Singlets2_02/Live_02/CD45p_02/T_02/CD4_02/CD4_CD45RAp_CD27n_02 | Count_back,4113.209663798467,-1574.104069550148,-991.4163311245538,6862.02379271579,-1295.2367145035332,-2315.4490407084477,-3.212257258991486,0.020480685254298095,0.17981017970869684,0.8892065714221502,0.05900869445668486,0.5764824309288576,0.015071086385521,0.12003680232084896,0.7453719330126798,0.07375565992240879,0.1662663388008418,0.9512406188105071,0.866332110375949,4113.209663798467,-1574.104069550148,-991.4163311245538,6862.02379271579,-1295.2367145035332,-2315.4490407084477,-3.212257258991486,0.020480685254298095,0.17981017970869684,0.8892065714221502,0.05900869445668486,0.5764824309288576,0.015071086385521,0.12003680232084896,0.7453719330126798,0.07375565992240879,0.1662663388008418,0.9512406188105071,0.866332110375949,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Time_02/Cells_02/Singlets1_02/Singlets2_02/Live_02/CD45p_02/T_02/CD4_02/CD4_CD103p_02 | Count_back,4537.220397595598,-669.0751740853384,193.20034995976312,-742.099054880378,1236.892610216796,-400.5173358957536,-5.980046222155468,2.1049416171581464e-5,0.00454702701004998,0.6259897983781612,0.011824977420846334,0.023043800489175443,4.5784383600724875e-5,0.41562716306253333,0.24430689811252687,0.8850372996993634,0.9784352853250877,0.33216068935081144,0.8866150705690798,4537.220397595598,-669.0751740853384,193.20034995976312,-742.099054880378,1236.892610216796,-400.5173358957536,-5.980046222155468,2.1049416171581464e-5,0.00454702701004998,0.6259897983781612,0.011824977420846334,0.023043800489175443,4.5784383600724875e-5,0.41562716306253333,0.24430689811252687,0.8850372996993634,0.9784352853250877,0.33216068935081144,0.8866150705690798,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Time_02/Cells_02/Singlets1_02/Singlets2_02/Live_02/CD45p_02/T_02/CD4_02/CD4_CCR4p_02/CD4_Th2_02 | Count_back,24944.94292627663,12006.781411977032,-5518.101203549948,6992.081868869752,-11514.855028757907,-3378.000872939043,-7.869644293582314,7.0233936038482e-8,0.20520889323221553,0.08410738037859314,6.67808914919484e-7,0.13819117884820056,1.9105036763169502e-5,0.14949840331655442,0.2885013554957416,0.40643544391123576,0.7344613554791364,0.034584414854444114,0.15057785435264556,24944.94292627663,12006.781411977032,-5518.101203549948,6992.081868869752,-11514.855028757907,-3378.000872939043,-7.869644293582314,7.0233936038482e-8,0.20520889323221553,0.08410738037859314,6.67808914919484e-7,0.13819117884820056,1.9105036763169502e-5,0.14949840331655442,0.2885013554957416,0.40643544391123576,0.7344613554791364,0.034584414854444114,0.15057785435264556,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Time_02/Cells_02/Singlets1_02/Singlets2_02/Live_02/CD45p_02/T_02/CD4_02/CD4_CXCR3p_02 | Count_back,100696.76017996915,24370.812024699702,13350.402025835836,32071.51339537848,10396.242044965735,11859.468513554035,-10.25338896761517,1.4094383135323423e-11,8.469687448151229e-4,0.61680591915659,5.222569237651176e-8,0.010137830706163399,4.9362086332229795e-09,0.4395755883331769,0.9312978684289399,0.4579468238659762,0.8123142353354831,0.5665380594728049,0.5935654134845116,100696.76017996915,24370.812024699702,13350.402025835836,32071.51339537848,10396.242044965735,11859.468513554035,-10.25338896761517,1.4094383135323423e-11,8.469687448151229e-4,0.61680591915659,5.222569237651176e-8,0.010137830706163399,4.9362086332229795e-09,0.4395755883331769,0.9312978684289399,0.4579468238659762,0.8123142353354831,0.5665380594728049,0.5935654134845116,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Time_02/Cells_02/Singlets1_02/Singlets2_02/Live_02/CD45p_02/T_02/CD4_02/CD4_CXCR3p_02/CD4_Th1_02 | Count_back,52468.18590915557,8576.878534080852,8165.07202181196,16743.726980529063,8776.080766435109,6050.674017917481,-8.957979866531836,1.5610841490365505e-9,9.280337294889229e-4,0.9742530041482305,3.7517120890583315e-6,0.020828923979883836,9.202782100193978e-8,0.624465198731842,0.7820852437689132,0.49884693817382986,0.6641503508448834,0.9893805520579202,0.8520251077304609,52468.18590915557,8576.878534080852,8165.07202181196,16743.726980529063,8776.080766435109,6050.674017917481,-8.957979866531836,1.5610841490365505e-9,9.280337294889229e-4,0.9742530041482305,3.7517120890583315e-6,0.020828923979883836,9.202782100193978e-8,0.624465198731842,0.7820852437689132,0.49884693817382986,0.6641503508448834,0.9893805520579202,0.8520251077304609,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Time_02/Cells_02/Singlets1_02/Singlets2_02/Live_02/CD45p_02/T_02/CD4_02/CD4_Treg_02 | Count_back,29680.627022664154,14497.244703814042,9431.066605798333,12551.983672530727,9140.875331473839,9079.463320093073,-7.844841880001029,7.357534163955222e-8,0.02479244006996348,0.443539129387449,2.374255663124188e-5,0.0372235445233829,4.088417744217506e-6,0.6930468668511609,0.9904368077547034,0.6801650424786623,0.8432817708340737,0.46362434486577975,0.4422870479373645,29680.627022664154,14497.244703814042,9431.066605798333,12551.983672530727,9140.875331473839,9079.463320093073,-7.844841880001029,7.357534163955222e-8,0.02479244006996348,0.443539129387449,2.374255663124188e-5,0.0372235445233829,4.088417744217506e-6,0.6930468668511609,0.9904368077547034,0.6801650424786623,0.8432817708340737,0.46362434486577975,0.4422870479373645,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
Time_03/Cells_03/Singlets1_03/Singlets2_03/Live_03/CD45p_03/T_03/CD3p_gdn_03/CD4_03 | Count_back,348321.1991257964,203575.03403049207,80111.1382071349,167790.94631507472,56384.1404210891,81160.2101516893,-9.10612701474317,3.1320830629114414e-10,0.04966904121753025,0.0859998749374462,5.3203584661671954e-8,0.03524642005413898,6.742746094781319e-8,0.21280151548301182,0.6435395441143094,0.3206531941266185,0.7306400100086505,0.061528490071860495,0.107978883529219,348321.1991257964,203575.03403049207,80111.1382071349,167790.94631507472,56384.1404210891,81160.2101516893,-9.10612701474317,3.1320830629114414e-10,0.04966904121753025,0.0859998749374462,5.3203584661671954e-8,0.03524642005413898,6.742746094781319e-8,0.21280151548301182,0.6435395441143094,0.3206531941266185,0.7306400100086505,0.061528490071860495,0.107978883529219,5.487689823700058,5.236634025780938,5.076269224147063,5.281008942859755,5.055470294480768,5.051727837509915,-9.023700626379563,3.26359170104024e-10,0.023781642573000784,0.13490613586263836,1.0161256615419815e-7,0.11012361761128972,9.747816906542415e-9,0.09604955034651821,0.9629748037233674,0.08358346091704272,0.7749227098070668,0.1200150564657306,0.10183376154436029,5.487689823700058,5.236634025780938,5.076269224147063,5.281008942859755,5.055470294480768,5.051727837509915,-9.023700626379563,3.26359170104024e-10,0.023781642573000784,0.13490613586263836,1.0161256615419815e-7,0.11012361761128972,9.747816906542415e-9,0.09604955034651821,0.9629748037233674,0.08358346091704272,0.7749227098070668,0.1200150564657306,0.10183376154436029
